Cardiac Monitoring,1
Peripheral IV,2
Pulse Oximetry,3
Blood Drawn,4
CT Scan - Abdomen,5
CT Scan - Pelvis,6
X-Ray - Chest,7
X-Ray - Other,8
X-Ray - Pelvis,9
Closure of Skin and subcutaneous tissue of other sites_,10
CT Scan - Head,11
Linear Repair of laceration of eyelid or eyebrow_,12
Spinal Immobilization,13
CT Scan - Thoracic/ Lumbar/ Sacro-Lumbar,14
X-Ray - Cervical Spine,15
X-Ray - Thoracic/ Lumbar/ Sacro-Lumbar,16
CT Scan - Other,17
Volume Replacement,18
Cervical Spine Collar/Immobilization,19
Application of Neck Support_,20
Oxygen,21
CT Scan - Chest,22
Endotracheal Airway,23
Ventilator,24
CT Scan - Facial Bone,25
Other Skeletal Stabilization,26
Foley,27
CT Scan - Cervical Spine,28
Sutures/Staples,29
Application of Neck Support__,30
Injection or Infusion of Platelet Inhibitor_,31
X-Ray - Facial Bone,32
Hare Traction Splint,33
Chest Tube/Decompression,34
X-Ray - Abdomen,35
Skeletal Survey,36
Ultrasound,37
Application of neck support_,38
Arterial Blood Gas,39
Injection or infusion of platelet inhibitor_,40
Assist Ventilation,41
Gastric Tube,42
Suctioning,43
X-Ray - Head,44
X-Ray - Lumbar/ Sacro-Lumbar,45
X-Ray - Thoracic,46
EKG,47
CPR,48
Intraosseous Infusion,49
Injection or Infusion of Platelet Inhibitor,50
Sutures/Staples (tongue_),51
Transfusion of packed cells_,52
End-Tidal CO2,53
Blood Products Given in ED,54
X-Ray - Head/Skull_,55
