VISUAL INSPECTION-H,1
PALPATION-H,2
VISUAL INSPECTION-F,3
PALPATION-F,4
LIGHT INSPECTION-N,5
LIGHT INSPECTION-M,6
VISUAL INSPECTION-C,7
PALPATION-C,8
VISUAL INSPECTION-A,9
PALPATION-A,10
STABILITY-PE,11
VISUAL INSPECTION-PE,12
VISUAL INSPECTION-G,13
JOINTS RANGED-RUE,14
VISUAL INSPECTION-RUE,15
PALPATION-RUE,16
PALPATION-LUE,17
VISUAL INSPECTION-LUE,18
JOINTS RANGED-LUE,19
JOINTS RANGED-RLE,20
VISUAL INSPECTION-RLE,21
PALPATION-RLE,22
JOINTS RANGED-LLE,23
VISUAL INSPECTION-LLE,24
PALPATION-LLE,25
C-SPINE-BK,26
LOG ROLL-BK,27
VISUAL INSPECTION-BK,28
T-SPINE-BK,29
L-SPINE-BK,30
VISUAL INSPECTION-N,31
VISUAL INSPECTION-M,32
VISUAL INSPECTION-NE,33
PALPATION-NE,34
MANUAL INSPECTION-G,35
RECTAL-BK,36
R VISUAL INSPECTION-EAR,37
R OTOSCOPY-EAR,38
L OTOSCOPY-EAR,39
L VISUAL INSPECTION-EAR,40
PALPATION-N,41
PALPATION-M,42
L VISUAL INSPECTION-EY,43
R VISUAL INSPECTION-EY,44
R PUPIL-EY,45
L PUPIL-EY,46
PALPATION(NON-SPINE)-BK,47
