| epoch   0 | training loss 0.0002 | train acc 1 0.9174 | train acc 3 0.9314 | train acc 5 0.9434 | val loss  0.0002 | top 1 acc 0.9151 | top 3 acc 0.9287 | top 5 acc 0.9439 | 
| epoch   1 | training loss 0.0001 | train acc 1 0.9174 | train acc 3 0.9364 | train acc 5 0.9467 | val loss  0.0001 | top 1 acc 0.9151 | top 3 acc 0.9331 | top 5 acc 0.9469 | 
| epoch   2 | training loss 0.0000 | train acc 1 0.9174 | train acc 3 0.9392 | train acc 5 0.9493 | val loss  0.0000 | top 1 acc 0.9151 | top 3 acc 0.9444 | top 5 acc 0.9514 | 
| epoch   3 | training loss 0.0000 | train acc 1 0.9241 | train acc 3 0.9526 | train acc 5 0.9587 | val loss  0.0000 | top 1 acc 0.9233 | top 3 acc 0.9519 | top 5 acc 0.9602 | 
| epoch   4 | training loss 0.0000 | train acc 1 0.9297 | train acc 3 0.9577 | train acc 5 0.9657 | val loss  0.0000 | top 1 acc 0.9266 | top 3 acc 0.9584 | top 5 acc 0.9668 | 
| epoch   5 | training loss 0.0000 | train acc 1 0.9332 | train acc 3 0.9611 | train acc 5 0.9733 | val loss  0.0000 | top 1 acc 0.9366 | top 3 acc 0.9625 | top 5 acc 0.9748 | 
| epoch   6 | training loss 0.0000 | train acc 1 0.9439 | train acc 3 0.9682 | train acc 5 0.9767 | val loss  0.0000 | top 1 acc 0.9430 | top 3 acc 0.9690 | top 5 acc 0.9773 | 
| epoch   7 | training loss 0.0000 | train acc 1 0.9461 | train acc 3 0.9695 | train acc 5 0.9785 | val loss  0.0000 | top 1 acc 0.9447 | top 3 acc 0.9702 | top 5 acc 0.9783 | 
| epoch   8 | training loss 0.0000 | train acc 1 0.9465 | train acc 3 0.9707 | train acc 5 0.9795 | val loss  0.0000 | top 1 acc 0.9451 | top 3 acc 0.9704 | top 5 acc 0.9797 | 
| epoch   9 | training loss 0.0000 | train acc 1 0.9520 | train acc 3 0.9715 | train acc 5 0.9810 | val loss  0.0000 | top 1 acc 0.9506 | top 3 acc 0.9706 | top 5 acc 0.9807 | 
| epoch  10 | training loss 0.0000 | train acc 1 0.9520 | train acc 3 0.9704 | train acc 5 0.9814 | val loss  0.0000 | top 1 acc 0.9507 | top 3 acc 0.9709 | top 5 acc 0.9808 | 
| epoch  11 | training loss 0.0000 | train acc 1 0.9520 | train acc 3 0.9719 | train acc 5 0.9817 | val loss  0.0000 | top 1 acc 0.9507 | top 3 acc 0.9730 | top 5 acc 0.9809 | 
| epoch  12 | training loss 0.0000 | train acc 1 0.9520 | train acc 3 0.9719 | train acc 5 0.9819 | val loss  0.0000 | top 1 acc 0.9507 | top 3 acc 0.9733 | top 5 acc 0.9817 | 
| epoch  13 | training loss 0.0000 | train acc 1 0.9565 | train acc 3 0.9724 | train acc 5 0.9822 | val loss  0.0000 | top 1 acc 0.9556 | top 3 acc 0.9740 | top 5 acc 0.9824 | 
| epoch  14 | training loss 0.0000 | train acc 1 0.9566 | train acc 3 0.9725 | train acc 5 0.9847 | val loss  0.0000 | top 1 acc 0.9556 | top 3 acc 0.9742 | top 5 acc 0.9846 | 
| epoch  15 | training loss 0.0000 | train acc 1 0.9568 | train acc 3 0.9727 | train acc 5 0.9856 | val loss  0.0000 | top 1 acc 0.9558 | top 3 acc 0.9747 | top 5 acc 0.9851 | 
| epoch  16 | training loss 0.0000 | train acc 1 0.9569 | train acc 3 0.9731 | train acc 5 0.9857 | val loss  0.0000 | top 1 acc 0.9559 | top 3 acc 0.9759 | top 5 acc 0.9855 | 
| epoch  17 | training loss 0.0000 | train acc 1 0.9572 | train acc 3 0.9745 | train acc 5 0.9865 | val loss  0.0000 | top 1 acc 0.9559 | top 3 acc 0.9753 | top 5 acc 0.9862 | 
| epoch  18 | training loss 0.0000 | train acc 1 0.9574 | train acc 3 0.9737 | train acc 5 0.9868 | val loss  0.0000 | top 1 acc 0.9560 | top 3 acc 0.9750 | top 5 acc 0.9863 | 
| epoch  19 | training loss 0.0000 | train acc 1 0.9574 | train acc 3 0.9742 | train acc 5 0.9887 | val loss  0.0000 | top 1 acc 0.9560 | top 3 acc 0.9750 | top 5 acc 0.9884 | 
| epoch  20 | training loss 0.0000 | train acc 1 0.9574 | train acc 3 0.9740 | train acc 5 0.9896 | val loss  0.0000 | top 1 acc 0.9560 | top 3 acc 0.9750 | top 5 acc 0.9899 | 
| epoch  21 | training loss 0.0000 | train acc 1 0.9574 | train acc 3 0.9740 | train acc 5 0.9900 | val loss  0.0000 | top 1 acc 0.9561 | top 3 acc 0.9746 | top 5 acc 0.9901 | 
| epoch  22 | training loss 0.0000 | train acc 1 0.9574 | train acc 3 0.9756 | train acc 5 0.9906 | val loss  0.0000 | top 1 acc 0.9560 | top 3 acc 0.9761 | top 5 acc 0.9902 | 
| epoch  23 | training loss 0.0000 | train acc 1 0.9590 | train acc 3 0.9768 | train acc 5 0.9912 | val loss  0.0000 | top 1 acc 0.9574 | top 3 acc 0.9766 | top 5 acc 0.9906 | 
| epoch  24 | training loss 0.0000 | train acc 1 0.9590 | train acc 3 0.9785 | train acc 5 0.9917 | val loss  0.0000 | top 1 acc 0.9574 | top 3 acc 0.9784 | top 5 acc 0.9920 | 
| epoch  25 | training loss 0.0000 | train acc 1 0.9589 | train acc 3 0.9794 | train acc 5 0.9920 | val loss  0.0000 | top 1 acc 0.9575 | top 3 acc 0.9794 | top 5 acc 0.9922 | 
| epoch  26 | training loss 0.0000 | train acc 1 0.9589 | train acc 3 0.9799 | train acc 5 0.9926 | val loss  0.0000 | top 1 acc 0.9577 | top 3 acc 0.9805 | top 5 acc 0.9926 | 
| epoch  27 | training loss 0.0000 | train acc 1 0.9593 | train acc 3 0.9804 | train acc 5 0.9935 | val loss  0.0000 | top 1 acc 0.9583 | top 3 acc 0.9813 | top 5 acc 0.9935 | 
| epoch  28 | training loss 0.0000 | train acc 1 0.9593 | train acc 3 0.9810 | train acc 5 0.9935 | val loss  0.0000 | top 1 acc 0.9583 | top 3 acc 0.9818 | top 5 acc 0.9941 | 
| epoch  29 | training loss 0.0000 | train acc 1 0.9596 | train acc 3 0.9825 | train acc 5 0.9936 | val loss  0.0000 | top 1 acc 0.9585 | top 3 acc 0.9831 | top 5 acc 0.9943 | 
| epoch  30 | training loss 0.0000 | train acc 1 0.9596 | train acc 3 0.9834 | train acc 5 0.9938 | val loss  0.0000 | top 1 acc 0.9585 | top 3 acc 0.9831 | top 5 acc 0.9943 | 
| epoch  31 | training loss 0.0000 | train acc 1 0.9594 | train acc 3 0.9853 | train acc 5 0.9939 | val loss  0.0000 | top 1 acc 0.9590 | top 3 acc 0.9839 | top 5 acc 0.9944 | 
| epoch  32 | training loss 0.0000 | train acc 1 0.9606 | train acc 3 0.9869 | train acc 5 0.9941 | val loss  0.0000 | top 1 acc 0.9603 | top 3 acc 0.9850 | top 5 acc 0.9944 | 
| epoch  33 | training loss 0.0000 | train acc 1 0.9612 | train acc 3 0.9877 | train acc 5 0.9939 | val loss  0.0000 | top 1 acc 0.9613 | top 3 acc 0.9853 | top 5 acc 0.9948 | 
| epoch  34 | training loss 0.0000 | train acc 1 0.9617 | train acc 3 0.9881 | train acc 5 0.9941 | val loss  0.0000 | top 1 acc 0.9619 | top 3 acc 0.9859 | top 5 acc 0.9951 | 
| epoch  35 | training loss 0.0000 | train acc 1 0.9624 | train acc 3 0.9884 | train acc 5 0.9947 | val loss  0.0000 | top 1 acc 0.9628 | top 3 acc 0.9867 | top 5 acc 0.9952 | 
| epoch  36 | training loss 0.0000 | train acc 1 0.9636 | train acc 3 0.9886 | train acc 5 0.9949 | val loss  0.0000 | top 1 acc 0.9633 | top 3 acc 0.9870 | top 5 acc 0.9953 | 
| epoch  37 | training loss 0.0000 | train acc 1 0.9638 | train acc 3 0.9890 | train acc 5 0.9949 | val loss  0.0000 | top 1 acc 0.9636 | top 3 acc 0.9870 | top 5 acc 0.9953 | 
| epoch  38 | training loss 0.0000 | train acc 1 0.9638 | train acc 3 0.9895 | train acc 5 0.9948 | val loss  0.0000 | top 1 acc 0.9645 | top 3 acc 0.9872 | top 5 acc 0.9953 | 
| epoch  39 | training loss 0.0000 | train acc 1 0.9645 | train acc 3 0.9900 | train acc 5 0.9948 | val loss  0.0000 | top 1 acc 0.9650 | top 3 acc 0.9877 | top 5 acc 0.9953 | 
| epoch  40 | training loss 0.0000 | train acc 1 0.9645 | train acc 3 0.9900 | train acc 5 0.9947 | val loss  0.0000 | top 1 acc 0.9653 | top 3 acc 0.9874 | top 5 acc 0.9951 | 
| epoch  41 | training loss 0.0000 | train acc 1 0.9642 | train acc 3 0.9902 | train acc 5 0.9947 | val loss  0.0000 | top 1 acc 0.9652 | top 3 acc 0.9874 | top 5 acc 0.9950 | 
| epoch  42 | training loss 0.0000 | train acc 1 0.9642 | train acc 3 0.9899 | train acc 5 0.9948 | val loss  0.0000 | top 1 acc 0.9652 | top 3 acc 0.9875 | top 5 acc 0.9951 | 
| epoch  43 | training loss 0.0000 | train acc 1 0.9643 | train acc 3 0.9900 | train acc 5 0.9948 | val loss  0.0000 | top 1 acc 0.9656 | top 3 acc 0.9875 | top 5 acc 0.9952 | 
| epoch  44 | training loss 0.0000 | train acc 1 0.9645 | train acc 3 0.9900 | train acc 5 0.9948 | val loss  0.0000 | top 1 acc 0.9659 | top 3 acc 0.9872 | top 5 acc 0.9953 | 
| epoch  45 | training loss 0.0000 | train acc 1 0.9649 | train acc 3 0.9898 | train acc 5 0.9949 | val loss  0.0000 | top 1 acc 0.9660 | top 3 acc 0.9871 | top 5 acc 0.9953 | 
| epoch  46 | training loss 0.0000 | train acc 1 0.9651 | train acc 3 0.9899 | train acc 5 0.9949 | val loss  0.0000 | top 1 acc 0.9660 | top 3 acc 0.9877 | top 5 acc 0.9953 | 
| epoch  47 | training loss 0.0000 | train acc 1 0.9651 | train acc 3 0.9900 | train acc 5 0.9949 | val loss  0.0000 | top 1 acc 0.9661 | top 3 acc 0.9880 | top 5 acc 0.9953 | 
| epoch  48 | training loss 0.0000 | train acc 1 0.9651 | train acc 3 0.9905 | train acc 5 0.9952 | val loss  0.0000 | top 1 acc 0.9659 | top 3 acc 0.9883 | top 5 acc 0.9957 | 
| epoch  49 | training loss 0.0000 | train acc 1 0.9649 | train acc 3 0.9911 | train acc 5 0.9952 | val loss  0.0000 | top 1 acc 0.9659 | top 3 acc 0.9885 | top 5 acc 0.9956 | 
| epoch  50 | training loss 0.0000 | train acc 1 0.9651 | train acc 3 0.9912 | train acc 5 0.9954 | val loss  0.0000 | top 1 acc 0.9660 | top 3 acc 0.9888 | top 5 acc 0.9958 | 
| epoch  51 | training loss 0.0000 | train acc 1 0.9655 | train acc 3 0.9911 | train acc 5 0.9961 | val loss  0.0000 | top 1 acc 0.9662 | top 3 acc 0.9888 | top 5 acc 0.9961 | 
| epoch  52 | training loss 0.0000 | train acc 1 0.9658 | train acc 3 0.9911 | train acc 5 0.9961 | val loss  0.0000 | top 1 acc 0.9662 | top 3 acc 0.9887 | top 5 acc 0.9960 | 
| epoch  53 | training loss 0.0000 | train acc 1 0.9658 | train acc 3 0.9912 | train acc 5 0.9961 | val loss  0.0000 | top 1 acc 0.9662 | top 3 acc 0.9887 | top 5 acc 0.9962 | 
| epoch  54 | training loss 0.0000 | train acc 1 0.9658 | train acc 3 0.9912 | train acc 5 0.9966 | val loss  0.0000 | top 1 acc 0.9662 | top 3 acc 0.9888 | top 5 acc 0.9964 | 
| epoch  55 | training loss 0.0000 | train acc 1 0.9661 | train acc 3 0.9917 | train acc 5 0.9966 | val loss  0.0000 | top 1 acc 0.9663 | top 3 acc 0.9894 | top 5 acc 0.9964 | 
| epoch  56 | training loss 0.0000 | train acc 1 0.9670 | train acc 3 0.9920 | train acc 5 0.9967 | val loss  0.0000 | top 1 acc 0.9667 | top 3 acc 0.9897 | top 5 acc 0.9963 | 
