| epoch   0 | training loss 0.0002 | train acc 1 0.8234 | train acc 3 0.8498 | train acc 5 0.9207 | val loss  0.0003 | top 1 acc 0.9151 | top 3 acc 0.9246 | top 5 acc 0.9340 | 
| epoch   1 | training loss 0.0001 | train acc 1 0.9174 | train acc 3 0.9265 | train acc 5 0.9351 | val loss  0.0001 | top 1 acc 0.9151 | top 3 acc 0.9246 | top 5 acc 0.9342 | 
| epoch   2 | training loss 0.0001 | train acc 1 0.9174 | train acc 3 0.9265 | train acc 5 0.9343 | val loss  0.0001 | top 1 acc 0.9151 | top 3 acc 0.9248 | top 5 acc 0.9336 | 
| epoch   3 | training loss 0.0000 | train acc 1 0.9174 | train acc 3 0.9274 | train acc 5 0.9664 | val loss  0.0001 | top 1 acc 0.9151 | top 3 acc 0.9268 | top 5 acc 0.9657 | 
| epoch   4 | training loss 0.0000 | train acc 1 0.9174 | train acc 3 0.9534 | train acc 5 0.9641 | val loss  0.0001 | top 1 acc 0.9201 | top 3 acc 0.9567 | top 5 acc 0.9633 | 
| epoch   5 | training loss 0.0000 | train acc 1 0.9274 | train acc 3 0.9541 | train acc 5 0.9583 | val loss  0.0000 | top 1 acc 0.9249 | top 3 acc 0.9533 | top 5 acc 0.9591 | 
| epoch   6 | training loss 0.0000 | train acc 1 0.9222 | train acc 3 0.9401 | train acc 5 0.9473 | val loss  0.0000 | top 1 acc 0.9192 | top 3 acc 0.9334 | top 5 acc 0.9390 | 
| epoch   7 | training loss 0.0000 | train acc 1 0.9219 | train acc 3 0.9340 | train acc 5 0.9456 | val loss  0.0000 | top 1 acc 0.9226 | top 3 acc 0.9321 | top 5 acc 0.9436 | 
| epoch   8 | training loss 0.0000 | train acc 1 0.9274 | train acc 3 0.9440 | train acc 5 0.9606 | val loss  0.0000 | top 1 acc 0.9263 | top 3 acc 0.9483 | top 5 acc 0.9606 | 
| epoch   9 | training loss 0.0000 | train acc 1 0.9342 | train acc 3 0.9614 | train acc 5 0.9685 | val loss  0.0000 | top 1 acc 0.9310 | top 3 acc 0.9620 | top 5 acc 0.9679 | 
| epoch  10 | training loss 0.0000 | train acc 1 0.9364 | train acc 3 0.9633 | train acc 5 0.9740 | val loss  0.0000 | top 1 acc 0.9328 | top 3 acc 0.9636 | top 5 acc 0.9740 | 
